State,County,TotalCases,TotalDeaths,Dec2020Cases,Dec2020Deaths
North Carolina,Cabarrus,1665675,24769.0,282054,3732.0
North Carolina,Forsyth,3052260,34463.0,531975,5982.0
North Carolina,Johnston,1783382,20505.0,305090,2862.0
North Carolina,Mecklenburg,10344209,107517.0,1652000,15680.0
North Carolina,Onslow,1176588,10019.0,222287,1640.0
Ohio,Trumbull,1299866,44697.0,277245,6319.0
Oregon,Clackamas,1284402,20040.0,261810,3125.0
Pennsylvania,Northampton,2478300,99035.0,405140,11601.0
Pennsylvania,Pike,263788,7745.0,35370,905.0
Tennessee,Knox,4331717,42006.0,825147,7424.0
Virginia,Alexandria city,1328369,20464.0,197315,2568.0
Virginia,Hanover,572236,13783.0,96301,1938.0
Virginia,James City,335423,6694.0,45701,769.0
Virginia,Prince Edward,201129,3336.0,29996,497.0
Virginia,Prince William,4505387,58541.0,675863,7553.0
Washington,Columbia,9624,456.0,2045,111.0
Washington,Grays Harbor,259538,3398.0,49101,601.0
Washington,Yakima,3891091,73935.0,558657,9682.0
Alabama,Elmore,981251,16032.0,162083,2331.0
Alabama,Jefferson,7507867,126417.0,1327277,18188.0
Alabama,Limestone,927108,9478.0,173775,1573.0
Alabama,Montgomery,2851852,55867.0,441498,8071.0
Alabama,Tuscaloosa,2769278,38593.0,494864,6103.0
California,San Benito,518162,4718.0,83886,685.0
Colorado,Clear Creek,34606,395.0,7376,62.0
Colorado,Pueblo,1370155,32702.0,357236,7119.0
Colorado,Routt,137468,3086.0,27665,525.0
Colorado,Summit,288437,1195.0,58103,146.0
Colorado,Weld,2724578,55770.0,545694,7575.0
Florida,Orange,12980123,131067.0,2061752,21447.0
Florida,Osceola,4106690,48791.0,682548,8300.0
Georgia,Gordon,728136,12524.0,129785,1885.0
Georgia,Henry,2066829,29316.0,341605,4580.0
Idaho,Ada,5230256,50724.0,1007571,9301.0
Iowa,Harrison,176971,5759.0,39625,1434.0
Kansas,Butler,621717,3187.0,136714,509.0
Louisiana,St. Charles,636615,18794.0,97031,2224.0
Louisiana,St. Tammany,2537648,78936.0,397330,9732.0
Louisiana,Terrebonne,1130259,32506.0,163751,4433.0
Maine,Cumberland,1140525,23648.0,165504,2530.0
Maryland,Anne Arundel,3958090,81722.0,642003,10053.0
Maryland,Charles,1024941,30315.0,163188,3503.0
Michigan,Bay,739088,26129.0,172186,4638.0
Michigan,Charlevoix,109136,1423.0,27403,250.0
Michigan,Leelanau,75737,844.0,16234,139.0
Michigan,Macomb,7173082,354044.0,1413473,45229.0
Minnesota,Wright,1240356,9263.0,305831,2071.0
Mississippi,Copiah,382737,8883.0,60870,1308.0
Mississippi,Leflore,448610,22299.0,73319,2984.0
Mississippi,Pearl River,385313,17190.0,64344,2318.0
Missouri,Henry,165445,2864.0,39949,530.0
Montana,Gallatin,1167009,4125.0,265354,949.0
Montana,Lewis and Clark,507103,4164.0,124359,870.0
Montana,Silver Bow,318687,4802.0,83239,1005.0
Montana,Yellowstone,1742421,23032.0,394738,4409.0
New Jersey,Ocean,5968297,328555.0,846818,38223.0
New York,Schenectady,842079,18134.0,126791,2096.0
North Carolina,Wayne,1259970,23928.0,206481,4022.0
Oklahoma,Oklahoma,7935899,70253.0,1554368,11682.0
Pennsylvania,Chester,3052638,118699.0,514725,13984.0
Pennsylvania,Cumberland,1285052,42668.0,250529,7053.0
Pennsylvania,Washington,1058797,17868.0,214072,3103.0
Puerto Rico,Unknown,590128,224681.0,104297,40689.0
South Dakota,McCook,80212,2215.0,19848,622.0
Tennessee,Hamilton,4083718,39375.0,740977,6841.0
Tennessee,Jefferson,509077,7737.0,96533,1443.0
Tennessee,Rutherford,3958993,36666.0,731883,6313.0
Texas,Bell,2034725,27708.0,331775,4422.0
Texas,El Paso,13459602,225780.0,2898133,43823.0
Texas,Galveston,3725932,43116.0,553837,6139.0
Texas,Smith,1905270,37520.0,354751,7080.0
Texas,Travis,9039382,113188.0,1367045,15911.0
Virginia,Harrisonburg city,754368,10564.0,121468,1230.0
Washington,Grant,1016636,10011.0,187126,2018.0
Wisconsin,Milwaukee,13193689,186360.0,2605071,27148.0
Wisconsin,Racine,2719162,40312.0,548340,7128.0
Wisconsin,Sheboygan,1414763,11562.0,335207,2534.0
Wyoming,Fremont,511612,8034.0,115957,1556.0
Alabama,Baldwin,2003567,23041.0,348455,4502.0
Arizona,Graham,455644,7761.0,83755,1320.0
California,San Luis Obispo,1603329,13255.0,254443,1704.0
Colorado,Boulder,1972615,33138.0,411449,4843.0
Colorado,Mesa,1004501,13345.0,239760,3184.0
Connecticut,Hartford,7340579,459865.0,1187677,53283.0
Connecticut,New Haven,7501089,365848.0,1226990,43362.0
Georgia,Coweta,1192594,15068.0,211645,2410.0
Hawaii,Kauai,24125,88.0,4106,31.0
Idaho,Blaine,298600,2410.0,45770,308.0
Idaho,Teton,98439,351.0,19857,62.0
Illinois,Cumberland,113078,2753.0,25216,676.0
Illinois,DuPage,8701034,199627.0,1716415,28448.0
Illinois,Sangamon,1615291,26460.0,373574,4735.0
Illinois,St. Clair,2988286,67333.0,567737,9605.0
Illinois,Woodford,320066,6198.0,73634,1248.0
Indiana,LaPorte,952122,20776.0,197012,3700.0
Indiana,Wells,234244,5483.0,53486,1379.0
Iowa,Dallas,1190126,13023.0,225159,1897.0
Kansas,Franklin,218715,2086.0,44336,535.0
Kentucky,Bourbon,123267,714.0,23379,31.0
Kentucky,Nelson,375646,2254.0,78962,450.0
Louisiana,Bossier,1334748,33546.0,236248,5370.0
Louisiana,Lafourche,1136322,36123.0,171233,4737.0
Louisiana,St. John the Baptist,534027,31421.0,71568,3616.0
Maryland,Carroll,821945,39388.0,133225,4745.0
Massachusetts,Barnstable,925594,56150.0,130371,6567.0
Massachusetts,Bristol,5393765,228171.0,848804,29911.0
Michigan,Monroe,963996,19058.0,210073,3718.0
Minnesota,Renville,137686,4373.0,36273,1068.0
Montana,Missoula,749118,6621.0,177165,1452.0
New Jersey,Mercer,3567714,188640.0,514289,21409.0
New Mexico,Sandoval,1009646,19953.0,213213,3325.0
New York,Broome,1171938,36156.0,208837,5562.0
New York,Tioga,229983,9367.0,43728,1639.0
New York,Tompkins,273779,1950.0,50491,257.0
North Carolina,Brunswick,695590,11729.0,115444,2094.0
North Carolina,Craven,711912,13053.0,128749,2410.0
North Carolina,Harnett,893525,17963.0,155452,2640.0
Ohio,Belmont,440429,8520.0,79809,987.0
Ohio,Butler,3258206,35244.0,675342,5371.0
Ohio,Franklin,11731686,165589.0,2195496,21382.0
Ohio,Lorain,1775528,33258.0,361848,4103.0
Ohio,Summit,3436828,101236.0,697798,14331.0
Ohio,Tuscarawas,739781,16787.0,160622,3297.0
Oklahoma,Jackson,322557,4871.0,66846,1089.0
Pennsylvania,Allegheny,6716137,158704.0,1308188,23136.0
South Carolina,Beaufort,1685438,21720.0,257081,3018.0
South Carolina,Lexington,2705982,50661.0,430046,7695.0
Tennessee,Campbell,327447,4209.0,66676,905.0
Texas,Brazoria,3477937,43045.0,549704,6743.0
Texas,Hays,2002002,21389.0,298841,3534.0
Utah,Summit,504327,681.0,84183,155.0
Vermont,Washington,106202,1086.0,25362,155.0
Vermont,Windsor,67830,863.0,9591,76.0
Virgin Islands,Unknown,419,535.0,0,0.0
Virginia,Chesterfield,2239620,30997.0,346013,4669.0
Virginia,Spotsylvania,796541,13099.0,121129,1914.0
Washington,Klickitat,69346,1053.0,11304,93.0
Wisconsin,Winnebago,2202296,20481.0,495056,4641.0
Alabama,Lee,1730631,18783.0,279149,2231.0
Alabama,Shelby,2266328,19207.0,409896,2820.0
Arkansas,Garland,834266,20521.0,148537,4013.0
Arkansas,Saline,1018341,12776.0,196775,2449.0
California,San Bernardino,25587876,265046.0,4410994,40126.0
California,Santa Barbara,3136248,33865.0,436403,4499.0
Colorado,Garfield,493776,3311.0,97254,606.0
Florida,Baker,406208,5574.0,69560,1079.0
Florida,Citrus,976614,36938.0,177646,6709.0
Georgia,Clarke,1590666,12785.0,280787,1851.0
Georgia,Clayton,2455742,47306.0,385504,6714.0
Georgia,Dougherty,1055132,57599.0,131693,6435.0
Georgia,Newton,941498,22696.0,151196,3589.0
Guam,Unknown,1303720,16973.0,251276,3672.0
Hawaii,Maui,216159,3788.0,33755,527.0
Illinois,Clinton,577904,11488.0,123611,2255.0
Illinois,Whiteside,596563,18912.0,138136,4577.0
Illinois,Winnebago,3283381,59753.0,684098,10123.0
Indiana,Hamilton,2970596,50483.0,610560,7332.0
Iowa,Allamakee,151684,3462.0,32155,545.0
Iowa,Polk,6246396,81439.0,1183124,11768.0
Kentucky,Clark,198742,2622.0,38566,420.0
Louisiana,St. Bernard,463107,9314.0,64533,1142.0
Maine,Lincoln,39008,283.0,6835,62.0
Maryland,Baltimore city,5409181,147420.0,882155,19853.0
Maryland,Howard,1882040,37037.0,303986,5132.0
Massachusetts,Hampden,4227853,246887.0,664242,30391.0
Massachusetts,Plymouth,4427010,240362.0,602549,29331.0
Michigan,Ottawa,2253667,36397.0,523050,6910.0
Minnesota,Waseca,233219,1986.0,49230,359.0
Minnesota,Washington,2298348,27666.0,524476,4801.0
Mississippi,Hinds,2315695,47150.0,377640,7116.0
New Hampshire,Hillsborough,2528283,92304.0,424000,11634.0
New York,Erie,6026930,233897.0,1058327,31136.0
New York,Greene,212978,5562.0,29355,562.0
New York,Montgomery,190595,6336.0,27110,835.0
New York,Putnam,814955,19894.0,120471,2037.0
North Carolina,Watauga,359990,1822.0,71224,348.0
North Carolina,Wilson,868551,17476.0,149260,2889.0
Ohio,Lucas,3518199,117219.0,669885,15230.0
Ohio,Medina,1102152,18762.0,233306,2468.0
Oklahoma,Cleveland,2665249,29083.0,500990,4368.0
Oklahoma,Kay,402062,6233.0,79646,863.0
Oklahoma,Payne,830371,3922.0,158030,750.0
Oregon,Yamhill,356425,6010.0,69481,812.0
Pennsylvania,Lehigh,3046833,113612.0,498795,13533.0
Pennsylvania,Luzerne,2428560,81640.0,427409,11682.0
South Carolina,Anderson,1773800,46995.0,310423,7911.0
South Carolina,Greenville,5869350,93180.0,941626,13993.0
South Carolina,Horry,3531476,59878.0,540957,8972.0
Texas,Denton,5501166,55394.0,987422,8674.0
Utah,Utah,8962360,29471.0,1822707,5623.0
Washington,Lewis,292888,3848.0,56883,656.0
Washington,Lincoln,29751,524.0,6564,124.0
Alaska,Fairbanks North Star Borough,624318,3402.0,133261,570.0
Arkansas,Cleburne,173304,5509.0,29910,908.0
Arkansas,Cleveland,80390,2763.0,14900,490.0
Arkansas,Desha,128227,1859.0,24222,307.0
Arkansas,Lincoln,572853,5154.0,83133,633.0
California,Nevada,317689,5365.0,64769,976.0
Florida,Escambia,3820786,67286.0,601101,10466.0
Florida,Lake,2499693,52746.0,399201,8548.0
Georgia,Forsyth,1684427,14409.0,272717,2214.0
Georgia,Hall,3080662,45828.0,483190,6637.0
Georgia,Paulding,1242536,17757.0,208903,2947.0
Georgia,Troup,912348,26010.0,138304,3910.0
Illinois,Peoria,1672561,27211.0,356713,5208.0
Illinois,Will,7201151,145038.0,1454439,21247.0
Indiana,Bartholomew,712263,19700.0,145217,2456.0
Indiana,Floyd,695073,21352.0,134437,2796.0
Louisiana,Ascension,1305090,27705.0,212366,3475.0
Maine,Unknown,1232,4.0,247,0.0
Maryland,Frederick,1770468,43692.0,282401,5130.0
Maryland,Talbot,193242,2168.0,30498,219.0
Massachusetts,Unknown,2122596,2638.0,387381,188.0
Minnesota,Benton,456305,7988.0,111519,2042.0
Minnesota,Blue Earth,684766,3336.0,145868,695.0
Mississippi,Hancock,292941,8921.0,49699,1488.0
Mississippi,Monroe,456962,19075.0,78460,2535.0
Missouri,Cass,724830,8749.0,149800,1435.0
New Hampshire,Carroll,112960,540.0,20354,76.0
New Jersey,Hunterdon,673317,35108.0,99295,4156.0
New Jersey,Somerset,2563402,173056.0,343210,19721.0
New York,Allegany,206839,7379.0,45035,2024.0
New York,Onondaga,2810150,73547.0,497663,9493.0
New York,Ontario,410980,10725.0,69723,1304.0
North Carolina,Durham,2643098,29822.0,410921,4094.0
Ohio,Geauga,510395,14205.0,103383,1585.0
Oklahoma,Canadian,1368120,7129.0,277592,1317.0
Oregon,Benton,180225,2304.0,34260,278.0
South Carolina,Fairfield,245585,10215.0,37289,1506.0
Tennessee,Sevier,1167221,10193.0,216779,1601.0
Texas,Bowie,594147,21662.0,103153,3499.0
Texas,Matagorda,326313,12014.0,49624,1960.0
Utah,Tooele,575664,1683.0,118201,329.0
Utah,Wasatch,437786,2465.0,86129,437.0
Vermont,Orange,35941,86.0,8642,17.0
Virginia,Stafford,844035,5245.0,130988,702.0
Virginia,York,235230,2281.0,36492,304.0
Wisconsin,Outagamie,2317630,20336.0,503214,4538.0
Wisconsin,Wood,685001,6311.0,166967,1352.0
Alabama,Madison,3139961,29809.0,557667,5194.0
Alabama,St. Clair,912973,14145.0,169953,1966.0
Alaska,Ketchikan Gateway Borough,34307,69.0,6803,0.0
Arizona,Navajo,2032104,68005.0,305950,9243.0
California,Kern,10591786,93392.0,1693082,14704.0
California,Monterey,3887591,29037.0,652831,5023.0
Delaware,Sussex,2708988,66511.0,395289,8616.0
Florida,Brevard,3319030,84963.0,568114,15028.0
Florida,Polk,6262735,143222.0,999221,22784.0
Georgia,Richmond,2364486,47231.0,389691,7387.0
Georgia,Whitfield,1737707,20009.0,307348,3236.0
Hawaii,Hawaii,273128,5661.0,54804,1320.0
Idaho,Madison,632923,1697.0,151571,336.0
Indiana,Franklin,167249,6628.0,31642,898.0
Indiana,Lake,5466338,120756.0,1097788,17319.0
Iowa,Adair,70396,1792.0,16315,462.0
Iowa,Black Hawk,1940395,34130.0,371452,5839.0
Kansas,Douglas,877925,5105.0,176803,927.0
Kansas,Ford,963209,2698.0,152663,310.0
Kentucky,Lyon,41133,1536.0,8252,155.0
Louisiana,East Baton Rouge,4659106,128488.0,710549,16970.0
Louisiana,Washington,533962,20143.0,83941,2543.0
Maine,Kennebec,237354,5086.0,40367,708.0
Maine,Oxford,132260,2163.0,23076,307.0
Maine,York,697954,9492.0,108692,1408.0
Michigan,Jackson,1536629,30380.0,289463,4694.0
Michigan,Otsego,143443,4369.0,32769,623.0
Minnesota,Martin,206116,4106.0,44460,719.0
Minnesota,Nicollet,270443,5761.0,59276,897.0
