State,County,TotalPop
Florida,Osceola County,325168
Florida,Palm Beach County,1426772
Florida,Pasco County,498136
Florida,Pinellas County,949842
Florida,Polk County,652256
Florida,Putnam County,72435
Florida,St. Johns County,226578
Florida,St. Lucie County,298763
Florida,Santa Rosa County,166778
Florida,Sarasota County,404839
Florida,Seminole County,449260
Florida,Sumter County,116754
Florida,Suwannee County,43814
Florida,Taylor County,22350
Florida,Union County,15300
Florida,Volusia County,518660
Florida,Wakulla County,31586
Florida,Walton County,63457
Florida,Washington County,24472
Georgia,Appling County,18471
Georgia,Atkinson County,8313
Georgia,Bacon County,11279
Georgia,Baker County,3251
Georgia,Baldwin County,45527
Georgia,Banks County,18363
Georgia,Barrow County,75099
Georgia,Bartow County,102623
Georgia,Ben Hill County,17272
Georgia,Berrien County,19014
Georgia,Bibb County,153923
Georgia,Bleckley County,12779
Georgia,Brantley County,18411
Georgia,Brooks County,15629
Georgia,Bryan County,34883
Georgia,Bulloch County,73742
Georgia,Burke County,22645
Georgia,Butts County,23556
Georgia,Calhoun County,6503
Georgia,Camden County,52252
Georgia,Candler County,10894
Georgia,Carroll County,114898
Georgia,Catoosa County,65870
Georgia,Charlton County,12963
Georgia,Chatham County,285506
Georgia,Chattahoochee County,11096
Georgia,Chattooga County,24880
Georgia,Cherokee County,235896
Georgia,Clarke County,123554
Georgia,Clay County,3024
Georgia,Clayton County,274150
Georgia,Clinch County,6788
Georgia,Cobb County,739072
Georgia,Coffee County,43048
Georgia,Colquitt County,45890
Georgia,Columbia County,143723
Georgia,Cook County,17190
Georgia,Coweta County,138015
Georgia,Crawford County,12385
Georgia,Crisp County,23005
Georgia,Dade County,16282
Georgia,Dawson County,23397
Georgia,Decatur County,27023
Georgia,DeKalb County,736066
Georgia,Dodge County,21063
Georgia,Dooly County,14053
Georgia,Dougherty County,91522
Georgia,Douglas County,140152
Georgia,Early County,10405
Georgia,Echols County,4011
Georgia,Effingham County,57087
Georgia,Elbert County,19288
Georgia,Emanuel County,22502
Georgia,Evans County,10757
Georgia,Fannin County,24480
Georgia,Fayette County,110306
Georgia,Floyd County,96471
Georgia,Forsyth County,211300
Georgia,Franklin County,22328
Georgia,Fulton County,1010420
Georgia,Gilmer County,29614
Georgia,Glascock County,3027
Georgia,Glynn County,83467
Georgia,Gordon County,56424
Georgia,Grady County,25048
Georgia,Greene County,16732
Georgia,Gwinnett County,889954
Georgia,Habersham County,43878
Georgia,Hall County,192865
Georgia,Hancock County,8667
Georgia,Haralson County,28722
Georgia,Harris County,33198
Georgia,Hart County,25535
Georgia,Heard County,11607
Georgia,Henry County,217506
Georgia,Houston County,150341
Georgia,Irwin County,9278
Georgia,Jackson County,63851
Georgia,Jasper County,13732
Georgia,Jeff Davis County,14999
Georgia,Jefferson County,15954
